,depth,vp,vs,rho,qp,qs
44,3415.4444444444443,8.85377,0.0,10.658675555555556,57822.0,0.0
45,3427.3636363636365,8.869335272727273,0.0,10.674003636363636,57822.0,0.0
46,3439.282828282828,8.884900545454546,0.0,10.689331717171717,57822.0,0.0
47,3451.2020202020203,8.90046581818182,0.0,10.704659797979797,57822.0,0.0
48,3463.121212121212,8.916031090909092,0.0,10.719987878787878,57822.0,0.0
49,3475.040404040404,8.931323232323233,0.0,10.735093333333333,57822.0,0.0
50,3486.959595959596,8.946082767676767,0.0,10.749764666666666,57822.0,0.0
51,3498.878787878788,8.960842303030304,0.0,10.764436,57822.0,0.0
52,3510.7979797979797,8.975601838383838,0.0,10.779107333333332,57822.0,0.0
53,3522.717171717172,8.990361373737374,0.0,10.793778666666666,57822.0,0.0
54,3534.6363636363635,9.005120909090909,0.0,10.80845,57822.0,0.0
55,3546.5555555555557,9.019880444444444,0.0,10.823121333333335,57822.0,0.0
56,3558.4747474747473,9.03463997979798,0.0,10.837792666666667,57822.0,0.0
57,3570.3939393939395,9.049399515151515,0.0,10.852464000000001,57822.0,0.0
58,3582.313131313131,9.063428222222223,0.0,10.866525555555556,57822.0,0.0
59,3594.2323232323233,9.077417777777779,0.0,10.880554444444446,57822.0,0.0
60,3606.151515151515,9.091407333333333,0.0,10.894583333333333,57822.0,0.0
61,3618.070707070707,9.105396888888889,0.0,10.908612222222223,57822.0,0.0
62,3629.989898989899,9.119386444444444,0.0,10.922641111111112,57822.0,0.0
63,3641.909090909091,9.133376,0.0,10.93667,57822.0,0.0
64,3653.8282828282827,9.147365555555556,0.0,10.950698888888889,57822.0,0.0
65,3665.747474747475,9.161355111111112,0.0,10.964727777777778,57822.0,0.0
66,3677.6666666666665,9.17493,0.0,10.978406,57822.0,0.0
67,3689.5858585858587,9.188178181818182,0.0,10.99180793939394,57822.0,0.0
68,3701.5050505050503,9.201426363636363,0.0,11.005209878787879,57822.0,0.0
69,3713.4242424242425,9.214674545454546,0.0,11.018611818181817,57822.0,0.0
70,3725.343434343434,9.227922727272727,0.0,11.032013757575758,57822.0,0.0
71,3737.2626262626263,9.24117090909091,0.0,11.045415696969696,57822.0,0.0
72,3749.181818181818,9.25441909090909,0.0,11.058817636363635,57822.0,0.0
73,3761.10101010101,9.267667272727273,0.0,11.072219575757575,57822.0,0.0
74,3773.020202020202,9.280801515151515,0.0,11.08551808080808,57822.0,0.0
75,3784.939393939394,9.293377454545455,0.0,11.098309757575757,57822.0,0.0
76,3796.8585858585857,9.305953393939394,0.0,11.111101434343434,57822.0,0.0
77,3808.777777777778,9.318529333333334,0.0,11.12389311111111,57822.0,0.0
78,3820.6969696969695,9.331105272727273,0.0,11.136684787878787,57822.0,0.0
79,3832.6161616161617,9.343681212121213,0.0,11.149476464646465,57822.0,0.0
80,3844.5353535353534,9.356257151515152,0.0,11.162268141414142,57822.0,0.0
81,3856.4545454545455,9.368833090909092,0.0,11.175059818181818,57822.0,0.0
82,3868.373737373737,9.38140903030303,0.0,11.187851494949495,57822.0,0.0
83,3880.2929292929293,9.393464565656567,0.0,11.200177595959596,57822.0,0.0
84,3892.212121212121,9.40537303030303,0.0,11.212372121212121,57822.0,0.0
85,3904.131313131313,9.417281494949496,0.0,11.224566646464647,57822.0,0.0
86,3916.0505050505053,9.429189959595961,0.0,11.236761171717172,57822.0,0.0
87,3927.969696969697,9.441098424242425,0.0,11.248955696969697,57822.0,0.0
88,3939.8888888888887,9.45300688888889,0.0,11.261150222222222,57822.0,0.0
89,3951.808080808081,9.464915353535353,0.0,11.273344747474747,57822.0,0.0
90,3963.727272727273,9.476823818181819,0.0,11.285539272727274,57822.0,0.0
91,3975.6464646464647,9.48849113131313,0.0,11.297507515151516,57822.0,0.0
92,3987.5656565656564,9.49978098989899,0.0,11.309121575757576,57822.0,0.0
93,3999.4848484848485,9.511070848484849,0.0,11.320735636363636,57822.0,0.0
94,4011.4040404040406,9.522360707070707,0.0,11.332349696969697,57822.0,0.0
95,4023.3232323232323,9.533650565656567,0.0,11.343963757575757,57822.0,0.0
96,4035.242424242424,9.544940424242425,0.0,11.355577818181818,57822.0,0.0
97,4047.161616161616,9.556230282828283,0.0,11.36719187878788,57822.0,0.0
98,4059.0808080808083,9.567520141414143,0.0,11.37880593939394,57822.0,0.0
99,4071.0,9.57881,0.0,11.39042,57822.0,0.0
100,4171.0,9.66865,0.0,11.48311,57822.0,0.0
101,4271.0,9.75393,0.0,11.57119,57822.0,0.0
102,4371.0,9.83496,0.0,11.65478,57822.0,0.0
103,4471.0,9.91206,0.0,11.73401,57822.0,0.0
104,4571.0,9.98554,0.0,11.809,57822.0,0.0
105,4671.0,10.05572,0.0,11.8799,57822.0,0.0
106,4771.0,10.12291,0.0,11.94682,57822.0,0.0
107,4871.0,10.18743,0.0,12.00989,57822.0,0.0
108,4971.0,10.24959,0.0,12.06924,57822.0,0.0
109,5071.0,10.30971,0.0,12.125,57822.0,0.0
110,5149.5,10.35568,0.0,12.16634,57822.0,0.0
